age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
31,FEMALE,MD,transport-moving,kayaking,wife,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,?,0,2,YES,48100,11100,7400,29600,N
44,FEMALE,PhD,farming-fishing,kayaking,unmarried,Vehicle Theft,?,Trivial Damage,None,3,1,NO,0,1,NO,6100,610,1220,4270,N
46,MALE,MD,tech-support,board-games,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,?,1,0,YES,79600,15920,15920,47760,N
34,MALE,Masters,protective-serv,dancing,other-relative,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,77040,8560,8560,59920,N
45,FEMALE,PhD,prof-specialty,kayaking,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,?,62590,11380,11380,39830,N
40,FEMALE,Masters,armed-forces,skydiving,other-relative,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,0,1,NO,85150,13100,13100,58950,N
39,MALE,MD,tech-support,exercise,wife,Vehicle Theft,?,Trivial Damage,None,1,1,?,2,1,NO,4950,450,900,3600,N
36,MALE,Associate,handlers-cleaners,basketball,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,?,2,0,YES,51100,10220,5110,35770,N
54,FEMALE,Masters,adm-clerical,reading,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,?,100800,16800,16800,67200,N
27,FEMALE,Masters,tech-support,exercise,husband,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,2,3,NO,90970,16540,16540,57890,N
26,MALE,JD,tech-support,cross-fit,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,?,1,1,YES,81840,14880,7440,59520,Y
46,MALE,Masters,craft-repair,sleeping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,?,0,2,NO,54900,5490,5490,43920,N
35,MALE,JD,tech-support,cross-fit,husband,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,8060,16120,64480,Y
34,FEMALE,JD,tech-support,bungie-jumping,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,?,1,1,NO,18000,2250,2250,13500,N
39,FEMALE,JD,protective-serv,exercise,other-relative,Vehicle Theft,?,Minor Damage,Police,9,1,YES,1,3,YES,5500,1100,550,3850,N
25,FEMALE,High School,tech-support,hiking,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,?,1,0,?,73920,13440,6720,53760,Y
28,FEMALE,High School,adm-clerical,polo,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,18520,18520,64820,N
57,MALE,Associate,tech-support,movies,own-child,Parked Car,?,Minor Damage,None,8,1,YES,0,1,YES,5390,980,980,3430,N
39,MALE,JD,farming-fishing,hiking,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,?,1,2,?,50490,5610,5610,39270,N
47,FEMALE,MD,handlers-cleaners,basketball,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,5550,11100,38850,N
32,MALE,High School,other-service,hiking,husband,Vehicle Theft,?,Minor Damage,Police,8,1,YES,1,1,YES,7040,1280,640,5120,N
26,MALE,MD,farming-fishing,basketball,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,?,0,1,YES,40160,5020,0,35140,N
44,MALE,High School,handlers-cleaners,bungie-jumping,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,6960,6960,41760,N
36,MALE,MD,armed-forces,skydiving,own-child,Vehicle Theft,?,Trivial Damage,Police,3,1,?,1,1,NO,5300,530,530,4240,Y
43,FEMALE,MD,adm-clerical,camping,not-in-family,Parked Car,?,Trivial Damage,None,6,1,YES,0,3,?,5200,650,650,3900,N
48,MALE,Masters,armed-forces,bungie-jumping,own-child,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,5940,11880,41580,N
43,FEMALE,College,sales,paintball,other-relative,Vehicle Theft,?,Minor Damage,Police,7,1,?,1,1,?,2520,280,280,1960,N
31,MALE,PhD,craft-repair,golf,not-in-family,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,2,1,YES,5760,960,960,3840,N
49,MALE,PhD,transport-moving,base-jumping,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,?,2,0,YES,76700,7670,7670,61360,N
39,FEMALE,High School,protective-serv,board-games,unmarried,Parked Car,?,Trivial Damage,Police,6,1,NO,0,2,NO,5920,740,740,4440,N
62,MALE,PhD,machine-op-inspct,paintball,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,?,64350,7150,7150,50050,N
39,MALE,JD,sales,kayaking,husband,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,?,19080,4240,2120,12720,N
43,FEMALE,Masters,tech-support,exercise,not-in-family,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,5440,5440,43520,N
32,FEMALE,College,sales,chess,other-relative,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,?,1,0,NO,59800,5980,5980,47840,Y
29,MALE,Masters,handlers-cleaners,golf,husband,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,?,0,3,YES,72000,7200,7200,57600,N
48,MALE,JD,adm-clerical,hiking,husband,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,2,3,NO,65070,7230,14460,43380,N
53,MALE,Associate,sales,reading,not-in-family,Parked Car,?,Trivial Damage,Police,8,1,NO,0,1,NO,8800,1760,880,6160,N
24,FEMALE,High School,handlers-cleaners,movies,other-relative,Vehicle Theft,?,Minor Damage,Police,7,1,NO,2,0,NO,6120,1020,1020,4080,N
37,MALE,High School,priv-house-serv,skydiving,not-in-family,Vehicle Theft,?,Trivial Damage,None,9,1,?,1,2,?,7080,1180,590,5310,N
50,MALE,High School,sales,yachting,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,34320,8580,4290,21450,N
40,FEMALE,MD,prof-specialty,reading,wife,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,?,1,0,?,53460,9720,9720,34020,Y
33,FEMALE,JD,exec-managerial,cross-fit,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,?,81360,6780,13560,61020,Y
43,MALE,PhD,craft-repair,bungie-jumping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,?,1,2,YES,81070,7370,14740,58960,Y
26,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,5260,10520,47340,N
28,MALE,Masters,transport-moving,yachting,not-in-family,Vehicle Theft,?,Trivial Damage,None,17,1,?,2,1,NO,7200,1440,720,5040,N
46,FEMALE,MD,prof-specialty,exercise,not-in-family,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,?,2,3,?,70290,12780,6390,51120,Y
43,MALE,College,priv-house-serv,camping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,9260,9260,41670,N
44,MALE,College,farming-fishing,base-jumping,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,11160,5580,44640,Y
49,FEMALE,College,other-service,exercise,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,2810,5620,19670,N
50,FEMALE,High School,sales,yachting,husband,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,49060,8920,8920,31220,N
50,MALE,Associate,sales,board-games,wife,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,?,1,1,NO,57060,6340,6340,44380,N
38,FEMALE,Associate,tech-support,kayaking,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,?,0,3,YES,77880,12980,12980,51920,N
41,MALE,Masters,exec-managerial,basketball,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,7350,14700,51450,N
52,FEMALE,High School,other-service,paintball,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,?,88920,6840,13680,68400,N
52,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,?,0,2,NO,47630,12990,4330,30310,Y
53,FEMALE,MD,craft-repair,kayaking,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,6560,6560,45920,N
37,FEMALE,MD,farming-fishing,dancing,other-relative,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,?,0,3,NO,79530,14460,7230,57840,N
34,FEMALE,High School,machine-op-inspct,base-jumping,wife,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,0,2,YES,53680,4880,4880,43920,N
46,MALE,JD,prof-specialty,dancing,own-child,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,2,3,YES,33550,3050,6100,24400,N
42,FEMALE,Masters,machine-op-inspct,exercise,husband,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,?,2,1,YES,69100,6910,6910,55280,N
35,MALE,MD,handlers-cleaners,paintball,own-child,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,?,2,0,NO,79750,14500,14500,50750,N
28,MALE,JD,farming-fishing,polo,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,?,0,2,YES,53600,5360,10720,37520,Y
54,MALE,Masters,transport-moving,kayaking,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,?,76560,12760,6380,57420,N
32,MALE,JD,craft-repair,golf,unmarried,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,4570,4570,31990,N
26,MALE,MD,sales,cross-fit,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,14300,7150,57200,Y
41,FEMALE,Associate,farming-fishing,reading,own-child,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,?,1,1,?,71060,6460,12920,51680,N
37,FEMALE,Masters,farming-fishing,dancing,own-child,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,?,38830,3530,3530,31770,N
43,FEMALE,MD,armed-forces,cross-fit,own-child,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,?,0,0,YES,53500,5350,5350,42800,N
38,FEMALE,College,adm-clerical,skydiving,other-relative,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,2,0,NO,73700,7370,7370,58960,Y
40,FEMALE,JD,exec-managerial,camping,other-relative,Parked Car,?,Trivial Damage,None,10,1,?,2,1,YES,6300,630,630,5040,N
36,FEMALE,College,tech-support,paintball,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,?,2,2,NO,65400,10900,10900,43600,N
28,MALE,Associate,armed-forces,board-games,other-relative,Vehicle Theft,?,Trivial Damage,None,3,1,YES,1,2,NO,3200,640,320,2240,N
51,FEMALE,Associate,tech-support,golf,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,7540,15080,52780,Y
28,FEMALE,JD,machine-op-inspct,golf,not-in-family,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,6460,6460,45220,N
44,FEMALE,JD,other-service,chess,own-child,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,?,0,1,?,98670,15180,15180,68310,Y
27,MALE,Masters,machine-op-inspct,golf,other-relative,Parked Car,?,Minor Damage,None,7,1,?,0,3,NO,5900,1180,590,4130,N
30,FEMALE,High School,armed-forces,paintball,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,?,1,3,YES,64100,6410,6410,51280,N
28,FEMALE,Associate,transport-moving,yachting,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,?,55440,5040,10080,40320,Y
27,MALE,MD,sales,yachting,other-relative,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,1,2,NO,80850,7350,14700,58800,Y
40,FEMALE,High School,transport-moving,bungie-jumping,husband,Vehicle Theft,?,Trivial Damage,Police,5,1,YES,1,1,NO,7480,680,680,6120,N
61,MALE,PhD,transport-moving,movies,wife,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,?,2,3,NO,53640,5960,5960,41720,Y
23,FEMALE,JD,tech-support,base-jumping,wife,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,NO,2,2,NO,63250,5750,11500,46000,Y
57,FEMALE,High School,farming-fishing,golf,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,NO,0,1,?,59040,9840,9840,39360,N
36,MALE,Associate,craft-repair,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,10100,5050,35350,N
43,MALE,Associate,machine-op-inspct,cross-fit,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,6410,12820,38460,Y
40,FEMALE,MD,sales,base-jumping,husband,Vehicle Theft,?,Trivial Damage,Police,2,1,YES,1,3,YES,5940,660,660,4620,N
30,FEMALE,PhD,exec-managerial,dancing,unmarried,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,?,0,2,YES,47790,5310,5310,37170,Y
29,FEMALE,Masters,priv-house-serv,skydiving,other-relative,Parked Car,?,Trivial Damage,None,17,1,?,0,1,NO,3850,350,350,3150,N
31,MALE,PhD,other-service,reading,husband,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,?,2,0,?,59000,5900,5900,47200,Y
43,MALE,College,machine-op-inspct,golf,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,0,1,?,70600,7060,14120,49420,Y
40,MALE,Masters,armed-forces,base-jumping,other-relative,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,?,1,1,?,61490,5590,11180,44720,N
30,FEMALE,MD,protective-serv,kayaking,wife,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,57640,5240,10480,41920,N
57,FEMALE,High School,craft-repair,movies,own-child,Vehicle Theft,?,Trivial Damage,Police,9,1,NO,1,0,NO,6890,1060,1060,4770,N
45,MALE,JD,machine-op-inspct,hiking,wife,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,?,2,2,?,53280,11840,5920,35520,Y
29,FEMALE,JD,handlers-cleaners,video-games,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,?,78300,15660,7830,54810,N
37,MALE,Associate,protective-serv,reading,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,4610,4610,32270,N
36,FEMALE,Associate,machine-op-inspct,camping,wife,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,YES,2,3,YES,68970,12540,6270,50160,N
55,MALE,College,handlers-cleaners,camping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,?,2,0,YES,85300,17060,8530,59710,N
40,FEMALE,Associate,other-service,camping,wife,Parked Car,?,Minor Damage,None,6,1,NO,0,0,NO,3080,560,280,2240,N
47,MALE,MD,craft-repair,paintball,other-relative,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,YES,2,0,?,71760,11040,11040,49680,Y
26,FEMALE,JD,armed-forces,skydiving,wife,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,?,1,0,NO,59700,11940,11940,35820,N
39,FEMALE,Masters,other-service,skydiving,other-relative,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,0,2,?,64920,10820,10820,43280,N
43,FEMALE,Associate,machine-op-inspct,board-games,own-child,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,?,0,1,NO,37530,4170,4170,29190,N
42,MALE,Associate,tech-support,paintball,husband,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,YES,1,2,NO,64080,7120,7120,49840,N
41,MALE,PhD,prof-specialty,cross-fit,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,NO,1,0,?,60390,10980,5490,43920,Y
33,FEMALE,JD,armed-forces,exercise,not-in-family,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,?,0,1,YES,64350,5850,11700,46800,Y
38,FEMALE,College,other-service,sleeping,own-child,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,YES,2,1,YES,70900,14180,7090,49630,N
39,FEMALE,JD,craft-repair,movies,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,NO,1,3,?,46560,7760,7760,31040,N
33,FEMALE,Associate,craft-repair,cross-fit,wife,Vehicle Theft,?,Trivial Damage,Police,3,1,NO,2,1,?,4730,860,860,3010,Y
40,FEMALE,PhD,transport-moving,video-games,not-in-family,Vehicle Theft,?,Minor Damage,Police,14,1,YES,0,0,YES,6820,1240,1240,4340,N
58,MALE,PhD,tech-support,sleeping,other-relative,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,?,0,2,?,59900,11980,5990,41930,Y
36,FEMALE,MD,priv-house-serv,basketball,own-child,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,?,1,3,YES,79560,13260,13260,53040,N
33,FEMALE,High School,adm-clerical,kayaking,not-in-family,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,YES,0,1,?,70290,12780,6390,51120,N
31,MALE,JD,priv-house-serv,hiking,not-in-family,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,5810,11620,46480,N
40,FEMALE,Associate,transport-moving,golf,not-in-family,Vehicle Theft,?,Trivial Damage,None,6,1,?,1,0,NO,6400,640,640,5120,N
25,FEMALE,JD,handlers-cleaners,movies,husband,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,YES,1,2,YES,66780,7420,7420,51940,Y
39,FEMALE,College,sales,hiking,own-child,Parked Car,?,Minor Damage,Police,8,1,NO,0,2,?,8760,1460,1460,5840,N
42,MALE,Associate,machine-op-inspct,kayaking,wife,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,1,YES,0,1,?,94160,8560,17120,68480,N
40,MALE,College,protective-serv,golf,other-relative,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,?,0,2,NO,51570,5730,11460,34380,N
31,FEMALE,High School,handlers-cleaners,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,?,1,0,NO,52700,10540,10540,31620,Y
34,MALE,High School,sales,dancing,wife,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,YES,2,2,?,101010,15540,15540,69930,N
37,MALE,High School,exec-managerial,golf,unmarried,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,?,1,2,YES,53400,5340,5340,42720,Y
31,FEMALE,Associate,prof-specialty,basketball,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,?,1,2,NO,72120,12020,12020,48080,N
43,MALE,College,protective-serv,reading,wife,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100,7710,15420,53970,N
39,FEMALE,College,handlers-cleaners,dancing,wife,Parked Car,?,Trivial Damage,Police,3,1,?,2,3,?,3300,600,0,2700,N
35,FEMALE,MD,adm-clerical,golf,not-in-family,Parked Car,?,Minor Damage,None,7,1,YES,1,0,?,5940,1080,540,4320,N
27,MALE,High School,transport-moving,video-games,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,NO,1,0,?,63720,7080,21240,35400,N
43,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,Vehicle Theft,?,Trivial Damage,Police,15,1,NO,1,3,NO,7680,1280,640,5760,N
31,MALE,Associate,handlers-cleaners,yachting,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,YES,1,2,?,93730,14420,21630,57680,N
44,MALE,College,sales,base-jumping,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,YES,0,2,?,87300,17460,17460,52380,N
40,MALE,JD,transport-moving,camping,wife,Parked Car,?,Trivial Damage,Police,5,1,?,0,2,NO,5670,1260,630,3780,N
47,MALE,High School,priv-house-serv,bungie-jumping,husband,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,YES,0,0,NO,65800,13160,6580,46060,N
34,FEMALE,JD,handlers-cleaners,base-jumping,wife,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,?,2,1,YES,36720,4080,4080,28560,Y
29,FEMALE,PhD,farming-fishing,kayaking,own-child,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,?,1,1,YES,52800,4800,9600,38400,Y
37,FEMALE,Associate,protective-serv,cross-fit,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,5910,5910,47280,Y
37,MALE,Associate,machine-op-inspct,hiking,unmarried,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,?,1,1,YES,77440,14080,7040,56320,N
36,MALE,Masters,armed-forces,golf,husband,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,NO,2,2,NO,45700,4570,4570,36560,N
41,FEMALE,PhD,sales,dancing,other-relative,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,7340,14680,58720,Y
26,MALE,MD,sales,base-jumping,not-in-family,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,?,0,3,?,31350,2850,5700,22800,Y
33,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,?,0,0,?,35000,3500,7000,24500,N
59,MALE,PhD,protective-serv,board-games,own-child,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,?,2,2,NO,68000,13600,6800,47600,N
30,FEMALE,Masters,machine-op-inspct,golf,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Other,13,3,YES,2,0,?,84500,13000,13000,58500,N
42,FEMALE,MD,transport-moving,bungie-jumping,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,?,75500,7550,15100,52850,N
46,MALE,High School,exec-managerial,bungie-jumping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,NO,1,3,?,90600,15100,15100,60400,N
45,FEMALE,Associate,adm-clerical,camping,wife,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,3,YES,1,1,?,64320,5360,10720,48240,N
33,FEMALE,High School,transport-moving,yachting,not-in-family,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,?,1,0,?,31700,6340,3170,22190,N
30,MALE,Associate,protective-serv,reading,other-relative,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,YES,0,1,YES,74280,12380,12380,49520,Y
37,FEMALE,High School,sales,video-games,wife,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,0,2,YES,80520,13420,6710,60390,N
30,MALE,JD,adm-clerical,polo,husband,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,6360,12720,44520,N
44,MALE,High School,handlers-cleaners,movies,husband,Single Vehicle Collision,Front Collision,Total Loss,Police,4,1,?,1,2,YES,32800,3280,3280,26240,N
50,FEMALE,Masters,priv-house-serv,board-games,other-relative,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,3,NO,0,2,NO,44190,9820,4910,29460,N
26,MALE,College,exec-managerial,sleeping,not-in-family,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,YES,2,2,NO,50400,10080,5040,35280,Y
55,MALE,JD,tech-support,sleeping,not-in-family,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,1,1,YES,88400,17680,8840,61880,N
49,FEMALE,High School,farming-fishing,bungie-jumping,own-child,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,YES,0,2,?,66550,12100,6050,48400,N
47,MALE,PhD,craft-repair,yachting,own-child,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,?,65780,5980,11960,47840,N
40,MALE,MD,armed-forces,base-jumping,husband,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,?,0,2,YES,51810,9420,4710,37680,Y
31,MALE,PhD,protective-serv,board-games,own-child,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,5060,10120,40480,Y
28,MALE,Masters,machine-op-inspct,base-jumping,not-in-family,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,?,2,3,?,44640,9920,4960,29760,N
46,FEMALE,PhD,transport-moving,reading,husband,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,?,1,3,NO,77660,7060,14120,56480,Y
25,FEMALE,JD,tech-support,base-jumping,unmarried,Parked Car,?,Trivial Damage,None,8,1,NO,2,2,?,5640,940,940,3760,N
26,FEMALE,MD,prof-specialty,reading,husband,Parked Car,?,Trivial Damage,None,4,1,?,2,2,?,3190,580,580,2030,N
30,MALE,College,prof-specialty,hiking,wife,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,?,0,0,YES,53440,0,6680,46760,N
31,FEMALE,JD,armed-forces,camping,unmarried,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,7250,7250,50750,N
39,MALE,College,armed-forces,sleeping,unmarried,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,NO,2,1,NO,44280,4920,4920,34440,N
37,MALE,Associate,tech-support,camping,wife,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,YES,2,0,NO,70290,7810,7810,54670,N
30,FEMALE,Associate,priv-house-serv,movies,husband,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,?,1,1,YES,87100,8710,8710,69680,N
35,MALE,MD,priv-house-serv,video-games,unmarried,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,?,1,3,?,50380,4580,4580,41220,N
45,FEMALE,JD,sales,cross-fit,wife,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,12960,6480,45360,Y
42,FEMALE,Associate,craft-repair,movies,wife,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,12800,12800,44800,N
26,MALE,College,armed-forces,skydiving,own-child,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,?,2,2,YES,57860,0,10520,47340,Y
47,MALE,Masters,protective-serv,sleeping,other-relative,Vehicle Theft,?,Minor Damage,None,3,1,?,0,3,NO,6240,960,960,4320,N
38,FEMALE,Associate,tech-support,board-games,unmarried,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,?,2,3,NO,66600,16650,11100,38850,Y
28,MALE,PhD,transport-moving,hiking,unmarried,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,11820,11820,47280,N
56,MALE,Associate,machine-op-inspct,skydiving,own-child,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,1,YES,2,0,YES,39480,6580,6580,26320,N
